,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,count_cyclones,count_cyclones_multiply_pop_density,count_cyclones_multiply_pop_density_log,boxcoxb,boxcoxb_log,count_cyclones_multiply_pop_density_log_minmax,boxcoxb_log_minmax
7352,162151,2023,4,22.75,-104.75,MEX,2850.252032,17855.708424357104,6.264606857179536,22.5,-104.5,1.0,6.264606857179536,1.9830141809233834,0.9997855349378876,0.12569116562745886,0.13388588318609662,0.12569116562745886
7363,162149,2023,4,22.75,-105.75,MEX,2267.351296,90749.28099762888,40.02435844755346,22.5,-105.5,2.0,80.04871689510692,4.395050417027464,3.53629318677115,0.34322256121451766,0.3558741129516791,0.34322256121451766
7364,162872,2023,4,23.25,-104.25,MEX,2839.704064,7111.643932287992,2.504360937621982,23.5,-104.5,3.0,7.513082812865946,2.1416041346668857,1.1635410269554536,0.13973486886165992,0.14848147779747317,0.13973486886165992
7365,162871,2023,4,23.25,-104.75,MEX,2839.704064,6988.2596625506285,2.4609112446410997,23.5,-104.5,3.0,7.382733733923299,2.1261740825273123,1.1475841287499973,0.13836640213010293,0.14706139550004177,0.13836640213010293
7366,162870,2023,4,23.25,-105.25,MEX,2839.704064,7945.593629988621,2.7980357991235456,23.5,-105.5,1.0,2.7980357991235456,1.3344840381285958,0.3367340977061618,0.06882774383459458,0.07419935932973484,0.06882774383459458
7367,162869,2023,4,23.25,-105.75,MEX,2839.704064,18847.52422582645,6.637143801272685,23.5,-105.5,1.0,6.637143801272685,2.033023685278886,1.0513634274278163,0.13011449584160756,0.13848843482987433,0.13011449584160756
7368,162868,2023,4,23.25,-106.25,MEX,2329.71904,481450.0805403578,206.65585518001254,23.5,-106.5,2.0,413.3117103600251,6.026618614095495,5.291328987176592,0.49373477697366125,0.5060331074093921,0.49373477697366125
7369,163589,2023,4,23.75,-105.75,MEX,2829.024,12533.015399004367,4.43015520511822,23.5,-105.5,1.0,4.43015520511822,1.6919677164320608,0.7008019855088653,0.1000502775671129,0.10709984719506342,0.1000502775671129
7370,163592,2023,4,23.75,-104.25,MEX,2829.024,50965.59440823598,18.01525699613576,23.5,-104.5,3.0,54.045770988407284,4.008165038935445,3.1240145164723674,0.30786546128381087,0.3202676826173011,0.30786546128381087
7371,163590,2023,4,23.75,-105.25,MEX,2829.024,35394.8988732662,12.511346271104875,23.5,-105.5,1.0,12.511346271104875,2.603529796978132,1.6434554377764523,0.18089242321509558,0.19099413101755652,0.18089242321509558
7372,163591,2023,4,23.75,-104.75,MEX,2829.024,92614.04621567078,32.73710163493515,23.5,-104.5,3.0,98.21130490480544,4.5972519685317215,3.752416403337396,0.3617573308157213,0.3744834372240146,0.3617573308157213
7373,163588,2023,4,23.75,-106.25,MEX,2829.024,16915.19123428346,5.979161447298948,23.5,-106.5,2.0,11.958322894597895,2.561738276269387,1.5998700547239622,0.1771545321837982,0.18714790948801163,0.1771545321837982
7374,163587,2023,4,23.75,-106.75,MEX,1969.211264,32371.13481196545,16.438629721328596,23.5,-106.5,2.0,32.87725944265719,3.5227439763897923,2.6092453850795074,0.2637187592322344,0.27559266457549597,0.2637187592322344
7464,154979,2023,4,17.75,-90.75,GTM,2943.618048,23959.7081092761,8.139543826195517,17.5,-90.5,6.0,48.8372629571731,3.9087629563816018,3.0183660324595047,0.29880502649570173,0.311119357226974,0.29880502649570173
7465,155698,2023,4,18.25,-91.25,MEX,2928.649728,26808.085793482423,9.153735776995735,18.5,-91.5,2.0,18.30747155399147,2.9604921481462756,2.0169577319367393,0.21292405349420512,0.22384663930191262,0.21292405349420512
7467,155697,2023,4,18.25,-91.75,MEX,2722.057216,6644.919460829515,2.4411387908275013,18.5,-91.5,2.0,4.882277581655003,1.7719440307311627,0.7827476666917574,0.10707795531811955,0.11446035039509388,0.10707795531811955
7468,155696,2023,4,18.25,-92.25,MEX,2927.930368,25447.86858587677,8.6914186430122,18.5,-92.5,7.0,60.839930501085405,4.12454928042804,3.2478597087706604,0.31848644935689013,0.33097893618589647,0.31848644935689013
7469,156416,2023,4,18.75,-92.25,MEX,914.21536,16212.7790594859,17.734091734671686,18.5,-92.5,7.0,124.1386421427018,4.829422259805753,4.001090644853301,0.38308368272497395,0.39585089066133433,0.38308368272497395
7471,156418,2023,4,18.75,-91.25,MEX,1804.867584,22005.658226647563,12.192394844766387,18.5,-91.5,2.0,24.384789689532774,3.234150163532766,2.304665178250871,0.23759790073147571,0.24903235479304098,0.23759790073147571
7485,155695,2023,4,18.25,-92.75,MEX,2749.96224,451625.382244626,164.2296667479427,18.5,-92.5,7.0,1149.607667235599,7.0480454880916765,6.401290287110841,0.5889252765756687,0.6000386369281537,0.5889252765756687
7486,155692,2023,4,18.25,-94.25,MEX,1074.496384,379545.6413122959,353.231194598693,18.5,-94.5,7.0,2472.618362190851,7.81343728163158,7.237777367896759,0.6606625733042601,0.6704803520159265,0.6606625733042601
7487,155691,2023,4,18.25,-94.75,MEX,2201.505536,314871.1718499364,143.02538272151608,18.5,-94.5,7.0,1001.1776790506126,6.909930590326506,6.250762326791568,0.5760159690640361,0.587327434169166,0.5760159690640361
7488,155693,2023,4,18.25,-93.75,MEX,1764.948864,111532.14545047985,63.192848090628786,18.5,-93.5,6.0,379.1570885437727,5.940584558202618,5.198199572794283,0.48574798006171527,0.4981150888152514,0.48574798006171527
