,index,pgid,year,quarter,lat,lon,iso3,wp_land_area,wp_pop_count,wp_pop_density,latbin,lonbin,ID,Severity,num_days,YEAR,num_days_multiply_pop_density,num_days_multiply_pop_density_log,boxcoxb,boxcoxb_log,num_days_multiply_pop_density_log_minmax,boxcoxb_log_minmax
20566,20566,140766,2023,4,7.75,2.75,NGA,3062.640128,172925.16574686696,56.46277672845373,7.5,2.5,10230.0,2.0,10.0,4042.0,564.6277672845373,6.3379362068789735,6.086862712524139,0.4992592478370049,0.5214900004469,0.4992592478370049
20913,20913,147259,2023,4,12.25,9.25,NGA,3020.435968,776744.1984467407,257.16294160046925,12.5,9.5,10214.0,2.0,14.0,4042.0,3600.2811824065693,8.189044945134336,8.383580053192308,0.7080589170143456,0.724354363992903,0.7080589170143456
20914,20914,147260,2023,4,12.25,9.75,NGA,3020.435968,956332.2462013364,316.6205992556027,12.5,9.5,10214.0,2.0,14.0,4042.0,4432.688389578438,8.39698711020971,8.645399253404724,0.7318614814051053,0.7471428982916234,0.7318614814051053
20917,20917,147980,2023,4,12.75,9.75,NGA,3014.586112,413941.95472318976,137.3130304937827,12.5,9.5,10214.0,2.0,14.0,4042.0,1922.3824269129577,7.561840595766308,7.598318731648683,0.6366690680099532,0.6556185795852572,0.6366690680099532
21068,21068,147979,2023,4,12.75,9.25,NGA,3014.586112,646813.1112872872,214.5611660295764,12.5,9.5,10214.0,2.0,14.0,4042.0,3003.8563244140696,8.00798503365125,8.156196589178558,0.687386981804131,0.7045118755708939,0.687386981804131
21078,21078,148688,2023,4,13.25,3.75,NER,3008.514048,281126.1536050871,93.44352365313837,13.5,3.5,10224.0,3.0,36.0,4042.0,3363.9668515129815,8.121173391068341,8.298278975024646,0.7003040067402339,0.7169162706308387,0.7003040067402339
21085,21085,149408,2023,4,13.75,3.75,NER,3002.208,171187.41551891432,57.02050474814347,13.5,3.5,10224.0,3.0,36.0,4042.0,2052.738170933165,7.627416909594496,7.680098479362151,0.6441038463196823,0.6628051358871772,0.6441038463196823
21143,21143,148687,2023,4,13.25,3.25,NER,3008.514048,335082.31789772725,111.37801338188308,13.5,3.5,10224.0,3.0,36.0,4042.0,4009.608481747791,8.296698249873339,8.51903667079595,0.7203735786589056,0.7361521685724894,0.7203735786589056
21160,21160,149407,2023,4,13.75,3.25,NER,3002.208,246201.3692168398,82.0067660924359,13.5,3.5,10224.0,3.0,36.0,4042.0,2952.2435793276923,7.9906593637223775,8.134467348281015,0.6854115283033699,0.7026131427031308,0.6854115283033699
21461,21461,148022,2023,4,12.75,30.75,SDN,3012.910848,227701.3020609177,75.57518743445996,12.5,30.5,10232.0,3.0,104.0,4042.0,7859.819493183836,8.969646141207747,9.370041831314461,0.7977403459306591,0.8099010212756776,0.7977403459306591
21463,21463,148021,2023,4,12.75,30.25,SDN,3014.586112,163486.28525391704,54.23175161695863,12.5,30.5,10232.0,3.0,104.0,4042.0,5640.102168163698,8.637834745287305,8.949532485262768,0.7595109082951033,0.7735375671686261,0.7595109082951033
22660,22660,166094,2023,4,25.25,66.75,PAK,1963.253248,241191.32192063384,122.85288317558604,25.5,66.5,10246.0,3.0,2.0,4042.0,245.7057663511721,5.50819639720285,5.079819666437823,0.40770673018631665,0.43055820647926346,0.40770673018631665
22676,22676,166814,2023,4,25.75,66.75,PAK,2781.812736,74613.91388254857,26.82204769463985,25.5,66.5,10246.0,3.0,2.0,4042.0,53.6440953892797,4.000841164673371,3.294221386042096,0.2453740288005247,0.26536604160783056,0.2453740288005247
22678,22678,166813,2023,4,25.75,66.25,PAK,2638.742784,31403.467175076035,11.900920152388766,25.5,66.5,10246.0,3.0,2.0,4042.0,23.80184030477753,3.210917856255623,2.3860531523480275,0.16281043971841114,0.17879776719983997,0.16281043971841114
25680,25680,177629,2023,4,33.25,74.25,IND,2584.608,848376.9158298008,328.24200645892944,33.5,74.5,10202.0,3.0,4.0,4042.0,1312.9680258357178,7.180806865290134,7.124681326101214,0.5936096406101694,0.6138608137527322,0.5936096406101694
25702,25702,178349,2023,4,33.75,74.25,IND,2569.715968,961953.8411755178,374.3424772054488,33.5,74.5,10202.0,3.0,4.0,4042.0,1497.3699088217952,7.312133068721739,7.287622203293455,0.6084229572733805,0.628252948653016,0.6084229572733805
25703,25703,178350,2023,4,33.75,74.75,IND,2569.715968,1734726.7901451625,675.0655760197862,33.5,74.5,10202.0,3.0,4.0,4042.0,2700.262304079145,7.901474462768295,8.02269620709208,0.6752501658707452,0.6928393040322512,0.6752501658707452
25708,25708,179068,2023,4,34.25,73.75,PAK,2554.601984,802762.6656816461,314.24177649180365,34.5,73.5,10198.0,3.0,2.0,4042.0,628.4835529836073,6.444899726032054,6.2177735085654335,0.5111606387574968,0.5332122109184909,0.5111606387574968
25710,25710,179067,2023,4,34.25,73.25,PAK,2554.601984,2719541.9813120617,1064.565829959076,34.5,73.5,10198.0,3.0,2.0,4042.0,2129.131659918152,7.663939068961324,7.725678254921889,0.6482476048438732,0.6668076261040728,0.6482476048438732
25734,25734,179787,2023,4,34.75,73.25,PAK,2539.325952,917970.869365914,361.5017869773317,34.5,73.5,10198.0,3.0,2.0,4042.0,723.0035739546634,6.584796328775001,6.38934747114435,0.5267588083674765,0.5485435821616754,0.5267588083674765
25736,25736,179788,2023,4,34.75,73.75,PAK,2539.325952,219679.23619748035,86.51084592919575,34.5,73.5,10198.0,3.0,2.0,4042.0,173.0216918583915,5.159179957297212,4.661005504588777,0.36963140550773643,0.3923092389900388,0.36963140550773643
25744,25744,180502,2023,4,35.25,70.75,AFG,2523.881984,100495.98763639251,39.81802171158591,35.5,70.5,10194.0,4.0,2.0,4042.0,79.63604342317181,4.389945738426537,3.7490831863351888,0.2867265242691125,0.3080082970712616,0.2867265242691125
25749,25749,181222,2023,4,35.75,70.75,AFG,2508.204032,8896.115472871963,3.5468069420884984,35.5,70.5,10194.0,4.0,2.0,4042.0,7.093613884176997,2.091075341359416,1.1416690420076088,0.049680719326684955,0.05607340511277861,0.049680719326684955
