,pgid,lat,lon,count_fire,wp_pop_density,wp_pop_density_log,wp_pop_density_log_minmax,count_fire_multiply_pop_density,boxcoxb,boxcoxb_log,boxcoxb_log_minmax
6436,112578.0,-11.75,-51.25,36,2.6891948382604847,1.3054082332297123,0.13543827008134848,4.875777722928546,1.764340478558065,0.480044965577626,0.480044965577626
6437,112579.0,-11.75,-50.75,85,2.3101585762968533,1.1969960964881916,0.12419033102111554,10.556178136794822,2.7697276880004877,0.536058952430194,0.536058952430194
6438,112580.0,-11.75,-50.25,51,0.03127406310180535,0.03079499231142425,0.0031950315461920253,0.1629466088557933,-1.6112639692968624,0.2919770635933963,0.2919770635933963
6439,112581.0,-11.75,-49.75,11,5.386939112223317,1.8542551414548383,0.19238204743565218,2.116202521792174,0.7884277620809035,0.42567311604880403,0.42567311604880403
6440,112582.0,-11.75,-49.25,25,30.94727276356787,3.4640868176674706,0.3594047548142943,8.985118870357358,2.55134267124665,0.5238918835214583,0.5238918835214583
6441,112583.0,-11.75,-48.75,7,1.695988064516087,0.9917647659319846,0.10289723996387935,0.7202806797471555,-0.32102973596254286,0.3638609732989937,0.3638609732989937
6442,112584.0,-11.75,-48.25,30,1.8095405760016963,1.033020973893907,0.10717763999066228,3.2153291997198683,1.2639340486641755,0.4521653994544785,0.4521653994544785
6443,112585.0,-11.75,-47.75,47,3.6148752332173366,1.52928483253353,0.1586658387066711,7.457294419213541,2.304549400077126,0.5101420815379434,0.5101420815379434
6444,112586.0,-11.75,-47.25,57,3.2374962748432163,1.443972593613136,0.14981455237185326,8.539429485195637,2.4833646028437797,0.5201045639752976,0.5201045639752976
6445,112587.0,-11.75,-46.75,18,8.404010920356779,2.2411362919230844,0.2325216086952452,4.185388956514414,1.5775976101332998,0.46964080240694395,0.46964080240694395
6446,112588.0,-11.75,-46.25,31,0.35080134654286627,0.30069800637721394,0.03119791706834869,0.9671354291188093,-0.03334229234565119,0.37988914685547087,0.37988914685547087
6447,112589.0,-11.75,-45.75,20,0.6586236524481216,0.5059881334229294,0.05249710835892427,1.0499421671784854,0.04889401508856243,0.38447084771675244,0.38447084771675244
6448,112590.0,-11.75,-45.25,103,2.6332611599995603,1.2901306361493876,0.1338531940362559,13.786878985734358,3.142090633291616,0.55680472373704,0.55680472373704
6449,112591.0,-11.75,-44.75,58,5.427064189042082,1.8605178537427423,0.1930318142263766,11.195845225129844,2.8506366083424304,0.5405666994531568,0.5405666994531568
6450,112592.0,-11.75,-44.25,44,2.1213258378774897,1.1382578595942017,0.11809614148711209,5.196230225432932,1.8433270300773228,0.4844456100425412,0.4844456100425412
6451,112593.0,-11.75,-43.75,27,0.8195043082470751,0.5985641058864966,0.062102019100557175,1.6767545157150436,0.5351149680585583,0.41156008638153385,0.41156008638153385
6452,112594.0,-11.75,-43.25,46,3.5402373844442705,1.5129792980088488,0.15697411244621176,7.220809172525741,2.262496826291053,0.5077991709726936,0.5077991709726936
6453,112595.0,-11.75,-42.75,19,5.982731023074666,1.9434401043012741,0.20163513530327334,3.8310675707621935,1.4711361472189766,0.46370942499535417,0.46370942499535417
6454,112596.0,-11.75,-42.25,1,6.828745427791217,2.057802270829369,0.2135003998259268,0.2135003998259268,-1.395317270505091,0.3040082844338584,0.3040082844338584
6456,112598.0,-11.75,-41.25,3,16.323344935903155,2.8520550101174478,0.2959054393210471,0.8877163179631413,-0.11816087787242359,0.37516357735356237,0.37516357735356237
6457,112599.0,-11.75,-40.75,2,16.727142926771034,2.875096963658987,0.2982960802313161,0.5965921604626322,-0.49911021111316245,0.3539394253619378,0.3539394253619378
6464,112708.0,-11.75,13.75,2,39.03996467261098,3.6898780721442073,0.3828309720905304,0.7656619441810608,-0.26231010751929257,0.36713246955905854,0.36713246955905854
6465,112709.0,-11.75,14.25,51,17.35228936231012,2.9097543276074216,0.3018918392431483,15.396483801400562,3.300006519142492,0.5656028248773641,0.5656028248773641
6466,112710.0,-11.75,14.75,93,28.03367426642956,3.368456337937574,0.34948293387585727,32.50191285045473,4.431960442054462,0.6286683299486566,0.6286683299486566
6467,112711.0,-11.75,15.25,24,40.87612122954888,3.734715765417788,0.3874829571606623,9.299590971855896,2.597570017535257,0.5264673867135818,0.5264673867135818
6468,112712.0,-11.75,15.75,67,27.90795399261973,3.3641167819091504,0.34903269773788176,23.385190748438077,3.919282363897269,0.6001050631199261,0.6001050631199261
6469,112713.0,-11.75,16.25,24,32.30813796426013,3.505801750440776,0.36373274830135705,8.729585959232569,2.5127352470314865,0.5217409154843784,0.5217409154843784
